"IfcGUID","Family","Type","Level","Room: Number","KNX Address","Assembly_code","Assembly_description"
"2ddamL7XL5x9J5Wl8JwJKh","KNX Device","Thing","6ET","607","1/3/110","D3060","Controls & Instrumentation"
"3bFH59okv5kep3Gyh6sYId","KNX Device","Thing","5ET","503","1/3/151","D3060","Controls & Instrumentation"
"3bFH59okv5kep3Gyh6sYGF","KNX Device","Thing","5ET","507","1/3/152","D3060","Controls & Instrumentation"
"3bFH59okv5kep3Gyh6sYkc","KNX Device","Thing","5ET","511","1/3/153","D3060","Controls & Instrumentation"
"3bFH59okv5kep3Gyh6sYhN","KNX Device","Thing","5ET","523","1/3/155","D3060","Controls & Instrumentation"
"3bFH59okv5kep3Gyh6sYeO","KNX Device","Thing","5ET","525","1/3/156","D3060","Controls & Instrumentation"
"3bFH59okv5kep3Gyh6sYcu","KNX Device","Thing","5ET","529","1/3/157","D3060","Controls & Instrumentation"
"3bFH59okv5kep3Gyh6sYX2","KNX Device","Thing","5ET","532","1/3/158","D3060","Controls & Instrumentation"
"3bFH59okv5kep3Gyh6sY$W","KNX Device","Thing","5ET","532","1/3/159","D3060","Controls & Instrumentation"
"3bFH59okv5kep3Gyh6sYxo","KNX Device","Thing","5ET","521","1/3/162","D3060","Controls & Instrumentation"
"3bFH59okv5kep3Gyh6sYwF","KNX Device","Thing","5ET","520","1/3/164","D3060","Controls & Instrumentation"
"3bFH59okv5kep3Gyh6sYtQ","KNX Device","Thing","5ET","520","1/3/165","D3060","Controls & Instrumentation"
"3bFH59okv5kep3Gyh6sYqH","KNX Device","Thing","5ET","516","1/3/166","D3060","Controls & Instrumentation"
"1bDMdL0k55X8oOMH5VKxMj","KNX Device","Thing","5ET","514","1/3/167","D3060","Controls & Instrumentation"
"3bFH59okv5kep3Gyh6sYnJ","KNX Device","Thing","5ET","514","1/3/168","D3060","Controls & Instrumentation"
"3bFH59okv5kep3Gyh6sZEn","KNX Device","Thing","5ET","510","1/3/169","D3060","Controls & Instrumentation"
"3bFH59okv5kep3Gyh6sZBj","KNX Device","Thing","5ET","504","1/3/170","D3060","Controls & Instrumentation"
"3bFH59okv5kep3Gyh6sZO$","KNX Device","Thing","6ET","609","1/3/176","D3060","Controls & Instrumentation"
"3bFH59okv5kep3Gyh6sZVS","KNX Device","Thing","5ET","530","1/3/180","D3060","Controls & Instrumentation"
"3bFH59okv5kep3Gyh6sZTA","KNX Device","Thing","5ET","526","1/3/181","D3060","Controls & Instrumentation"
"3bFH59okv5kep3Gyh6sZQ0","KNX Device","Thing","5ET","502","1/3/182","D3060","Controls & Instrumentation"
"1bDMdL0k55X8oOMH5VKwzs","KNX Device","Thing","3ET","314","1/4/100","D3060","Controls & Instrumentation"
"1bDMdL0k55X8oOMH5VKwmv","KNX Device","Thing","3ET","316","1/4/101","D3060","Controls & Instrumentation"
"1bDMdL0k55X8oOMH5VKviE","KNX Device","Thing","3ET","318","1/4/102","D3060","Controls & Instrumentation"
