"IfcGUID","Level","ZoneName","Number","Name","IfcExportAs","Department","Occupancy","Area","Volume","Perimeter","Unbounded Height"
"1y$B4Uq994ePTP2tD$digv","ENT","ENT_North","003","Storage Room","IfcSpace","Public","Occupied","35 m²","87.10 m³","24.20","2.66"
"3ouNmxeFb5CQ_5Hd2J9uUu","3ET","3ET_North","3ETNTS1","Technical Shaft","IfcSpace","Personnel","Occupied","4 m²","10.18 m³","10.72","3.70"
"3ouNmxeFb5CQ_5Hd2J9uTi","3ET","3ET_North","3ETNTS2","Technical Shaft","IfcSpace","Local technique","Unoccupied","2 m²","5.89 m³","6.87","3.70"
"3ouNmxeFb5CQ_5Hd2J9uTf","3ET","3ET_North","3ETNTS3","Technical Shaft","IfcSpace","Local technique","Unoccupied","Not Enclosed","Not Enclosed","Not Enclosed","3.70"
"3ouNmxeFb5CQ_5Hd2J9uHx","3ET","3ET_South","3ETSTS1","Technical Shaft","IfcSpace","Local technique","Unoccupied","4 m²","10.79 m³","20.55","3.70"
"3ouNmxeFb5CQ_5Hd2J9uI2","3ET","3ET_South","3ETSTS2","Technical Shaft","IfcSpace","Local technique","Unoccupied","2 m²","7.38 m³","17.64","3.70"
"2IRRGeGVD4mwnjuD6Rcm1E","4ET","4ET_North","4ETNTS1","Technical Shaft","IfcSpace","Local technique","Unoccupied","1 m²","4.94 m³","5.13","3.66"
"2IRRGeGVD4mwnjuD6Rcm18","4ET","4ET_North","4ETNTS2","Technical Shaft","IfcSpace","Local technique","Unoccupied","2 m²","8.50 m³","7.67","3.66"
"2IRRGeGVD4mwnjuD6Rcm1D","4ET","4ET_North","4ETNTS3","Technical Shaft","IfcSpace","Local technique","Unoccupied","2 m²","5.47 m³","5.51","3.66"
"3I4pmWbmP5j9qN39_QZekP","4ET","4ET_South","4ETSTS1","Technical Shaft","IfcSpace","Local technique","Unoccupied","4 m²","9.63 m³","9.50","3.66"
"2IRRGeGVD4mwnjuD6Rcm0p","4ET","4ET_South","4ETSTS2","Technical Shaft","IfcSpace","Local technique","Unoccupied","4 m²","12.53 m³","8.69","3.66"
"1y$B4Uq994ePTP2tD$diIJ","RDC","RDC_North","005-1","Kitchen","IfcSpace","Public","Occupied","7 m²","15.91 m³","10.64","2.45"
"1y$B4Uq994ePTP2tD$diI9","RDC","RDC_North","005-2","Storage Room","IfcSpace","Personnel","Unoccupied","16 m²","35.56 m³","17.39","2.45"
"1NQaYx$l9Fxwk17bLoURsZ","5ET","5ET_North","5ETNTS1","Technical Shaft","IfcSpace","Local technique","Unoccupied","3 m²","10.58 m³","8.34","4.00"
"1NQaYx$l9Fxwk17bLoURsg","5ET","5ET_North","5ETNTS2","Technical Shaft","IfcSpace","Local technique","Unoccupied","2 m²","9.36 m³","7.86","4.00"
