"IfcGUID","Level","Room: Number","Assembly Code","Assembly Description","Family","Type"
"0ImRR5UQf38efws_Jt6Dp1","ENT","","E2010","Fixed Furnishings","Siège gradins","Default"
"0ImRR5UQf38efws_Jt6Dp2","ENT","","E2010","Fixed Furnishings","Siège gradins","Default"
"0ImRR5UQf38efws_Jt6Dp3","ENT","","E2010","Fixed Furnishings","Siège gradins","Default"
"0ImRR5UQf38efws_Jt6DpC","ENT","","E2010","Fixed Furnishings","Siège gradins","Default"
"0ImRR5UQf38efws_Jt6DpD","ENT","","E2010","Fixed Furnishings","Siège gradins","Default"
"0ImRR5UQf38efws_Jt6DpE","ENT","","E2010","Fixed Furnishings","Siège gradins","Default"
"0ImRR5UQf38efws_Jt6DpF","ENT","","E2010","Fixed Furnishings","Siège gradins","Default"
"0ImRR5UQf38efws_Jt6Dp8","ENT","","E2010","Fixed Furnishings","Siège gradins","Default"
"0ImRR5UQf38efws_Jt6Dp9","ENT","","E2010","Fixed Furnishings","Siège gradins","Default"
"0ImRR5UQf38efws_Jt6DpA","ENT","","E2010","Fixed Furnishings","Siège gradins","Default"
"0ImRR5UQf38efws_Jt6DpB","ENT","","E2010","Fixed Furnishings","Siège gradins","Default"
"0ImRR5UQf38efws_Jt6Dos","ENT","","E2010","Fixed Furnishings","Siège gradins","Default"
"0ImRR5UQf38efws_Jt6Dot","ENT","","E2010","Fixed Furnishings","Siège gradins","Default"
"0ImRR5UQf38efws_Jt6Dom","ENT","","E2010","Fixed Furnishings","Siège gradins","Default"
"0ImRR5UQf38efws_Jt6Don","ENT","","E2010","Fixed Furnishings","Siège gradins","Default"
"0ImRR5UQf38efws_Jt6Doo","ENT","","E2010","Fixed Furnishings","Siège gradins","Default"
"0ImRR5UQf38efws_Jt6Dop","ENT","","E2010","Fixed Furnishings","Siège gradins","Default"
"0ImRR5UQf38efws_Jt6Doy","ENT","","E2010","Fixed Furnishings","Siège gradins","Default"
"0ImRR5UQf38efws_Jt6Doz","ENT","","E2010","Fixed Furnishings","Siège gradins","Default"
"0ImRR5UQf38efws_Jt6Do_","ENT","","E2010","Fixed Furnishings","Siège gradins","Default"
"0ImRR5UQf38efws_Jt6Do$","ENT","","E2010","Fixed Furnishings","Siège gradins","Default"
"0ImRR5UQf38efws_Jt6Dou","ENT","","E2010","Fixed Furnishings","Siège gradins","Default"
"0ImRR5UQf38efws_Jt6Dov","ENT","","E2010","Fixed Furnishings","Siège gradins","Default"
"0ImRR5UQf38efws_Jt6Dow","ENT","","E2010","Fixed Furnishings","Siège gradins","Default"
"0ImRR5UQf38efws_Jt6Dox","ENT","","E2010","Fixed Furnishings","Siège gradins","Default"
"0ImRR5UQf38efws_Jt6Doa","ENT","","E2010","Fixed Furnishings","Siège gradins","Default"
"0ImRR5UQf38efws_Jt6Dob","ENT","","E2010","Fixed Furnishings","Siège gradins","Default"
"0ImRR5UQf38efws_Jt6Doc","ENT","","E2010","Fixed Furnishings","Siège gradins","Default"
"0ImRR5UQf38efws_Jt6Dod","ENT","","E2010","Fixed Furnishings","Siège gradins","Default"
"0ImRR5UQf38efws_Jt6DoW","ENT","","E2010","Fixed Furnishings","Siège gradins","Default"
"0ImRR5UQf38efws_Jt6DoX","ENT","","E2010","Fixed Furnishings","Siège gradins","Default"
"0ImRR5UQf38efws_Jt6DoY","ENT","","E2010","Fixed Furnishings","Siège gradins","Default"
"0ImRR5UQf38efws_Jt6DoZ","ENT","","E2010","Fixed Furnishings","Siège gradins","Default"
"0ImRR5UQf38efws_Jt6Doi","ENT","","E2010","Fixed Furnishings","Siège gradins","Default"
"0ImRR5UQf38efws_Jt6Doj","ENT","","E2010","Fixed Furnishings","Siège gradins","Default"
"0ImRR5UQf38efws_Jt6Dok","ENT","","E2010","Fixed Furnishings","Siège gradins","Default"
