"IfcGUID","Family","Type","Assembly_code","Assembly_description","Level","Largeur (m)","Hauteur (m)","From Room: Number","To Room: Number","Heat Transfer Coefficient (U)","Thermal Resistance (R)","Thickness"
"2pvfbkv2n0JRz1B6pTk0Se","Placard coulissante - 2 panneaux","Placard coulissante - 2 panneaux 2","C1020","Interior Doors","3ET","1.50","2.10","322","322","3.70 W/(m²·K)","0.27 (m²·K)/W","0.02"
"2pvfbkv2n0JRz1B6pTk0TQ","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","3ET","0.86","1.95","south-corridor","326","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"2pvfbkv2n0JRz1B6pTk0Xw","Placard coulissante - 2 panneaux","Placard coulissante - 2 panneaux 2","C1020","Interior Doors","3ET","1.50","2.10","320","320","3.70 W/(m²·K)","0.27 (m²·K)/W","0.02"
"2pvfbkv2n0JRz1B6pTk0YM","Placard coulissante - 2 panneaux","Placard coulissante - 2 panneaux 2","C1020","Interior Doors","3ET","1.50","2.10","318","316","3.70 W/(m²·K)","0.27 (m²·K)/W","0.02"
"2pvfbkv2n0JRz1B6pTk0aB","Placard coulissante - 2 panneaux","Placard coulissante - 2 panneaux 2","C1020","Interior Doors","3ET","1.50","2.10","318","316","3.70 W/(m²·K)","0.27 (m²·K)/W","0.02"
"2pvfbkv2n0JRz1B6pTk0f3","Double (R)","1.63m x 2.04m","C1020","Interior Doors","3ET","1.63","2.04","stairlanding","waiting-area","3.70 W/(m²·K)","0.27 (m²·K)/W","0.04"
"2pvfbkv2n0JRz1B6pTk0ij","Simple avec alignement","864 x 2032mm - Rouge","","","3ET","0.86","2.03","waiting-area","316","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"2pvfbkv2n0JRz1B6pTk0kj","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","3ET","0.86","1.95","311","311","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"2pvfbkv2n0JRz1B6pTk0kS","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","3ET","0.86","1.95","311","311","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"2pvfbkv2n0JRz1B6pTk0lI","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","3ET","0.86","1.95","310","310","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"2pvfbkv2n0JRz1B6pTk0mG","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","3ET","0.86","1.95","north-corridor","310","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"0ZuKmG$5n6r8CPOchMaEhi","Placard coulissante - 3 panneaux","Placard coulissante - 3 panneaux","C1020","Interior Doors","3ET","4.50","2.10","323","","3.70 W/(m²·K)","0.27 (m²·K)/W","0.02"
"0ZuKmG$5n6r8CPOchMaEiS","Placard coulissante - 3 panneaux","Placard coulissante - 3 panneaux","C1020","Interior Doors","3ET","4.50","2.10","","321","3.70 W/(m²·K)","0.27 (m²·K)/W","0.02"
"0ZuKmG$5n6r8CPOchMaEl_","Double (R)","1.20 m x 2.04 m","C1020","Interior Doors","3ET","1.00","2.04","north-corridor","3ETNTS1","3.70 W/(m²·K)","0.27 (m²·K)/W","0.04"
"0ZuKmG$5n6r8CPOchMaFGv","Double (R)","1.20 m x 2.04 m","C1020","Interior Doors","3ET","1.00","2.04","north-corridor","3ETNTS1","3.70 W/(m²·K)","0.27 (m²·K)/W","0.04"
"26RvPR7OX7XPFMpPoB2Vry","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","4ET","0.86","1.95","north-corridor","407","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"26RvPR7OX7XPFMpPoB2Vq_","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","4ET","0.86","1.95","north-corridor","409","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"26RvPR7OX7XPFMpPoB2Vpn","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","4ET","0.86","1.95","north-corridor","403","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"26RvPR7OX7XPFMpPoB2Vop","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","4ET","0.86","1.95","north-corridor","405","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"26RvPR7OX7XPFMpPoB2Vo5","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","4ET","0.86","1.95","north-corridor","410","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"26RvPR7OX7XPFMpPoB2Vns","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","4ET","0.86","1.95","north-corridor","404","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"26RvPR7OX7XPFMpPoB2VmL","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","4ET","0.86","1.95","north-corridor","406","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
"26RvPR7OX7XPFMpPoB2V$V","Simple avec alignement","864 x 2000mm","C1020","Interior Doors","4ET","0.86","1.95","north-corridor","408","3.70 W/(m²·K)","0.27 (m²·K)/W","0.05"
